Country ISO,Country,Section,Question,Description,Value,Unit
AUS,Australia,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,13.61,%
BGD,Bangladesh,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,11.41,%
BRA,Brazil,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,12.72,%
CHN,China,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,7.58,%
COM,Comoros,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,22.23,%
DEU,Germany,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,14.78,%
EGY,Egypt,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,16.33,%
FJI,Fiji,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,9.82,%
GRC,Greece,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,14.78,%
IDN,Indonesia,AI Impact,Q21. Increase productivity: Unlikely,AI will increase productivity: Unlikely,6.92,%
AUS,Australia,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,20.07,%
BGD,Bangladesh,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,19.11,%
BRA,Brazil,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,15.89,%
CHN,China,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,22.71,%
COM,Comoros,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,7.21,%
DEU,Germany,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,19.29,%
EGY,Egypt,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,17.63,%
FJI,Fiji,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,18.24,%
GRC,Greece,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,31.46,%
IDN,Indonesia,AI Impact,Q21. Increase productivity: Neutral,AI will increase productivity: Neutral,41.74,%
AUS,Australia,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,20.6,%
BGD,Bangladesh,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,41.7,%
BRA,Brazil,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,33.76,%
CHN,China,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,32.37,%
COM,Comoros,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,36.59,%
DEU,Germany,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,30.22,%
EGY,Egypt,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,36.65,%
FJI,Fiji,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,27.99,%
GRC,Greece,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,33.06,%
IDN,Indonesia,AI Impact,Q21. Increase productivity: Likely,AI will increase productivity: Likely,34.73,%
AUS,Australia,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,18.46,%
BGD,Bangladesh,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,15.97,%
BRA,Brazil,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,27.79,%
CHN,China,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,33.39,%
COM,Comoros,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,25.69,%
DEU,Germany,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,12.94,%
EGY,Egypt,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,13.96,%
FJI,Fiji,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,31.33,%
GRC,Greece,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,8.67,%
IDN,Indonesia,AI Impact,Q21. Increase productivity: Very Likely,AI will increase productivity: Very Likely,12.52,%
AUS,Australia,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,14.08,%
BGD,Bangladesh,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,12.57,%
BRA,Brazil,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,28.54,%
CHN,China,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,24.56,%
COM,Comoros,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,20.36,%
DEU,Germany,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,10.72,%
EGY,Egypt,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,12.74,%
FJI,Fiji,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,26.67,%
GRC,Greece,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,10.25,%
IDN,Indonesia,AI Impact,Q21. Find new jobs: Very Likely,AI will help find new jobs: Very Likely,15.59,%
AUS,Australia,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,19.17,%
BGD,Bangladesh,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,42.59,%
BRA,Brazil,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,35.08,%
CHN,China,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,25.89,%
COM,Comoros,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,36.89,%
DEU,Germany,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,20.54,%
EGY,Egypt,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,42.75,%
FJI,Fiji,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,30.4,%
GRC,Greece,AI Impact,Q21. Find new jobs: Likely,AI will help find new jobs: Likely,37.73,%
AUS,Australia,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,21.07,%
BGD,Bangladesh,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,18.39,%
BRA,Brazil,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,16.57,%
CHN,China,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,30.98,%
COM,Comoros,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,6.03,%
DEU,Germany,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,21.64,%
EGY,Egypt,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,12.33,%
FJI,Fiji,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,18.66,%
GRC,Greece,AI Impact,Q21. Find new jobs: Neutral,AI will help find new jobs: Neutral,27.87,%
AUS,Australia,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,17.14,%
BGD,Bangladesh,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,14.08,%
BRA,Brazil,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,11.9,%
CHN,China,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,11.42,%
COM,Comoros,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,27.58,%
DEU,Germany,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,18.04,%
EGY,Egypt,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,20.14,%
FJI,Fiji,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,13.05,%
GRC,Greece,AI Impact,Q21. Find new jobs: Unlikely,AI will help find new jobs: Unlikely,11.9,%
AUS,Australia,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,28.54,%
BGD,Bangladesh,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,12.37,%
BRA,Brazil,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,7.92,%
CHN,China,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,7.14,%
COM,Comoros,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,9.15,%
DEU,Germany,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,29.06,%
EGY,Egypt,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,12.03,%
FJI,Fiji,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,11.22,%
GRC,Greece,AI Impact,Q21. Find new jobs: Very Unlikely,AI will help find new jobs: Very Unlikely,12.24,%
AUS,Australia,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,15.59,%
BGD,Bangladesh,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,8.81,%
BRA,Brazil,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,17.93,%
CHN,China,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,23.96,%
COM,Comoros,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,19.2,%
DEU,Germany,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,8.05,%
EGY,Egypt,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,6.36,%
FJI,Fiji,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,25.58,%
GRC,Greece,AI Impact,Q21. Current job change/replaced: Very Likely,Current job significantly changed or replaced by AI: Very Likely,9.45,%
AUS,Australia,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,14.68,%
BGD,Bangladesh,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,36.22,%
BRA,Brazil,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,23.37,%
CHN,China,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,26.35,%
COM,Comoros,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,37.06,%
DEU,Germany,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,17.6,%
EGY,Egypt,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,30.17,%
FJI,Fiji,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,21.79,%
GRC,Greece,AI Impact,Q21. Current job change/replaced: Likely,Current job significantly changed or replaced by AI: Likely,26.64,%
AUS,Australia,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,15.18,%
BGD,Bangladesh,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,24.73,%
BRA,Brazil,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,18.87,%
CHN,China,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,31.08,%
COM,Comoros,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,7.32,%
DEU,Germany,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,20.83,%
EGY,Egypt,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,15.22,%
FJI,Fiji,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,20.73,%
GRC,Greece,AI Impact,Q21. Current job change/replaced: Neutral,Current job significantly changed or replaced by AI: Neutral,28.74,%
AUS,Australia,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,17.97,%
BGD,Bangladesh,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,15.57,%
BRA,Brazil,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,24.18,%
CHN,China,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,11.78,%
COM,Comoros,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,25.71,%
DEU,Germany,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,22.18,%
EGY,Egypt,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,25.38,%
FJI,Fiji,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,16.1,%
GRC,Greece,AI Impact,Q21. Current job change/replaced: Unlikely,Current job significantly changed or replaced by AI: Unlikely,19.78,%
AUS,Australia,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,36.58,%
BGD,Bangladesh,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,14.68,%
BRA,Brazil,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,15.66,%
CHN,China,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,6.83,%
COM,Comoros,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,10.71,%
DEU,Germany,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,31.34,%
EGY,Egypt,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,22.87,%
FJI,Fiji,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,15.81,%
GRC,Greece,AI Impact,Q21. Current job change/replaced: Very Unlikely,Current job significantly changed or replaced by AI: Very Unlikely,15.38,%
AUS,Australia,Mean Age,Q1. Mean Age,Mean age of survey respondents,48.6645393371582,years
BGD,Bangladesh,Mean Age,Q1. Mean Age,Mean age of survey respondents,35.4538955688477,years
BRA,Brazil,Mean Age,Q1. Mean Age,Mean age of survey respondents,42.8580894470215,years
CHN,China,Mean Age,Q1. Mean Age,Mean age of survey respondents,43.6826782226562,years
COM,Comoros,Mean Age,Q1. Mean Age,Mean age of survey respondents,36.2722015380859,years
DEU,Germany,Mean Age,Q1. Mean Age,Mean age of survey respondents,48.8474044799805,years
EGY,Egypt,Mean Age,Q1. Mean Age,Mean age of survey respondents,37.352424621582,years
FJI,Fiji,Mean Age,Q1. Mean Age,Mean age of survey respondents,39.9846649169922,years
GRC,Greece,Mean Age,Q1. Mean Age,Mean age of survey respondents,47.8183174133301,years
IDN,Indonesia,Mean Age,Q1. Mean Age,Mean age of survey respondents,39.6504936218262,years
IND,India,Mean Age,Q1. Mean Age,Mean age of survey respondents,37.3665313720703,years
JPN,Japan,Mean Age,Q1. Mean Age,Mean age of survey respondents,49.6509819030762,years
KGZ,Kyrgyzstan,Mean Age,Q1. Mean Age,Mean age of survey respondents,38.3842735290527,years
KOR,Republic of Korea,Mean Age,Q1. Mean Age,Mean age of survey respondents,45.8126945495605,years
NGA,Nigeria,Mean Age,Q1. Mean Age,Mean age of survey respondents,32.7339477539062,years
PAK,Pakistan,Mean Age,Q1. Mean Age,Mean age of survey respondents,35.7775001525879,years
RUS,Russian Federation,Mean Age,Q1. Mean Age,Mean age of survey respondents,47.4576568603516,years
TUN,Tunisia,Mean Age,Q1. Mean Age,Mean age of survey respondents,41.0113906860352,years
TUR,Türkiye,Mean Age,Q1. Mean Age,Mean age of survey respondents,40.2699775695801,years
USA,United States of America,Mean Age,Q1. Mean Age,Mean age of survey respondents,46.0061225891113,years
ZAF,South Africa,Mean Age,Q1. Mean Age,Mean age of survey respondents,36.6871948242187,years
AUS,Australia,Gender Group,Q2. Female,Female respondents,49.77,%
BGD,Bangladesh,Gender Group,Q2. Female,Female respondents,48.25,%
BRA,Brazil,Gender Group,Q2. Female,Female respondents,50.99,%
CHN,China,Gender Group,Q2. Female,Female respondents,49.5,%
COM,Comoros,Gender Group,Q2. Female,Female respondents,50,%
DEU,Germany,Gender Group,Q2. Female,Female respondents,50.9,%
EGY,Egypt,Gender Group,Q2. Female,Female respondents,50.18,%
FJI,Fiji,Gender Group,Q2. Female,Female respondents,50.8,%
GRC,Greece,Gender Group,Q2. Female,Female respondents,51.97,%
IDN,Indonesia,Gender Group,Q2. Female,Female respondents,50.2,%
IND,India,Gender Group,Q2. Female,Female respondents,48.6,%
JPN,Japan,Gender Group,Q2. Female,Female respondents,51.5,%
KGZ,Kyrgyzstan,Gender Group,Q2. Female,Female respondents,51.6,%
KOR,Republic of Korea,Gender Group,Q2. Female,Female respondents,50.3,%
NGA,Nigeria,Gender Group,Q2. Female,Female respondents,49.65,%
PAK,Pakistan,Gender Group,Q2. Female,Female respondents,49.15,%
RUS,Russian Federation,Gender Group,Q2. Female,Female respondents,53.7,%
TUN,Tunisia,Gender Group,Q2. Female,Female respondents,51.02,%
TUR,Türkiye,Gender Group,Q2. Female,Female respondents,50.4,%
USA,United States of America,Gender Group,Q2. Female,Female respondents,49.55,%
ZAF,South Africa,Gender Group,Q2. Female,Female respondents,52.11,%
AUS,Australia,Gender Group,Q2. Male,Male respondents,48.35,%
BGD,Bangladesh,Gender Group,Q2. Male,Male respondents,51.75,%
BRA,Brazil,Gender Group,Q2. Male,Male respondents,48.71,%
CHN,China,Gender Group,Q2. Male,Male respondents,50.5,%
COM,Comoros,Gender Group,Q2. Male,Male respondents,50,%
DEU,Germany,Gender Group,Q2. Male,Male respondents,48.84,%
EGY,Egypt,Gender Group,Q2. Male,Male respondents,49.82,%
FJI,Fiji,Gender Group,Q2. Male,Male respondents,49.2,%
GRC,Greece,Gender Group,Q2. Male,Male respondents,48.03,%
IDN,Indonesia,Gender Group,Q2. Male,Male respondents,49.8,%
IND,India,Gender Group,Q2. Male,Male respondents,51.4,%
JPN,Japan,Gender Group,Q2. Male,Male respondents,48.5,%
KGZ,Kyrgyzstan,Gender Group,Q2. Male,Male respondents,48.4,%
KOR,Republic of Korea,Gender Group,Q2. Male,Male respondents,49.7,%
NGA,Nigeria,Gender Group,Q2. Male,Male respondents,50.35,%
PAK,Pakistan,Gender Group,Q2. Male,Male respondents,50.75,%
RUS,Russian Federation,Gender Group,Q2. Male,Male respondents,46.3,%
TUN,Tunisia,Gender Group,Q2. Male,Male respondents,48.98,%
TUR,Türkiye,Gender Group,Q2. Male,Male respondents,49.6,%
USA,United States of America,Gender Group,Q2. Male,Male respondents,49.15,%
ZAF,South Africa,Gender Group,Q2. Male,Male respondents,47.69,%
AUS,Australia,Gender Group,Q2. Other,Other respondents,1.88,%
BGD,Bangladesh,Gender Group,Q2. Other,Other respondents,0,%
BRA,Brazil,Gender Group,Q2. Other,Other respondents,0.3,%
CHN,China,Gender Group,Q2. Other,Other respondents,0,%
COM,Comoros,Gender Group,Q2. Other,Other respondents,0,%
DEU,Germany,Gender Group,Q2. Other,Other respondents,0.26,%
EGY,Egypt,Gender Group,Q2. Other,Other respondents,0,%
FJI,Fiji,Gender Group,Q2. Other,Other respondents,0,%
GRC,Greece,Gender Group,Q2. Other,Other respondents,0,%
IDN,Indonesia,Gender Group,Q2. Other,Other respondents,0,%
IND,India,Gender Group,Q2. Other,Other respondents,0,%
JPN,Japan,Gender Group,Q2. Other,Other respondents,0,%
KGZ,Kyrgyzstan,Gender Group,Q2. Other,Other respondents,0,%
KOR,Republic of Korea,Gender Group,Q2. Other,Other respondents,0,%
NGA,Nigeria,Gender Group,Q2. Other,Other respondents,0,%
PAK,Pakistan,Gender Group,Q2. Other,Other respondents,0.1,%
RUS,Russian Federation,Gender Group,Q2. Other,Other respondents,0,%
TUN,Tunisia,Gender Group,Q2. Other,Other respondents,0,%
TUR,Türkiye,Gender Group,Q2. Other,Other respondents,0,%
USA,United States of America,Gender Group,Q2. Other,Other respondents,1.29,%
ZAF,South Africa,Gender Group,Q2. Other,Other respondents,0.19,%
AUS,Australia,Education Group,Q3. Primary or Less,Completed primary or less,7.19,%
BGD,Bangladesh,Education Group,Q3. Primary or Less,Completed primary or less,46.6,%
BRA,Brazil,Education Group,Q3. Primary or Less,Completed primary or less,41.87,%
CHN,China,Education Group,Q3. Primary or Less,Completed primary or less,21,%
COM,Comoros,Education Group,Q3. Primary or Less,Completed primary or less,51,%
DEU,Germany,Education Group,Q3. Primary or Less,Completed primary or less,10.51,%
EGY,Egypt,Education Group,Q3. Primary or Less,Completed primary or less,51.83,%
FJI,Fiji,Education Group,Q3. Primary or Less,Completed primary or less,36.2,%
GRC,Greece,Education Group,Q3. Primary or Less,Completed primary or less,10.2,%
IDN,Indonesia,Education Group,Q3. Primary or Less,Completed primary or less,36.3,%
IND,India,Education Group,Q3. Primary or Less,Completed primary or less,30.8,%
JPN,Japan,Education Group,Q3. Primary or Less,Completed primary or less,0.8,%
KGZ,Kyrgyzstan,Education Group,Q3. Primary or Less,Completed primary or less,10,%
KOR,Republic of Korea,Education Group,Q3. Primary or Less,Completed primary or less,20,%
NGA,Nigeria,Education Group,Q3. Primary or Less,Completed primary or less,42.5,%
PAK,Pakistan,Education Group,Q3. Primary or Less,Completed primary or less,61.24,%
RUS,Russian Federation,Education Group,Q3. Primary or Less,Completed primary or less,4.9,%
TUN,Tunisia,Education Group,Q3. Primary or Less,Completed primary or less,15,%
TUR,Türkiye,Education Group,Q3. Primary or Less,Completed primary or less,33.8,%
USA,United States of America,Education Group,Q3. Primary or Less,Completed primary or less,4.84,%
ZAF,South Africa,Education Group,Q3. Primary or Less,Completed primary or less,12.48,%
AUS,Australia,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,22.63,%
BGD,Bangladesh,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,25.3,%
BRA,Brazil,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,4.98,%
CHN,China,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,42,%
COM,Comoros,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,15,%
DEU,Germany,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,10.51,%
EGY,Egypt,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,20.85,%
FJI,Fiji,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,37.7,%
GRC,Greece,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,12.2,%
IDN,Indonesia,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,21.7,%
IND,India,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,24.9,%
JPN,Japan,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,11.2,%
KGZ,Kyrgyzstan,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,10,%
KOR,Republic of Korea,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,10,%
NGA,Nigeria,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,16,%
PAK,Pakistan,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,19.58,%
RUS,Russian Federation,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,4.9,%
TUN,Tunisia,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,17,%
TUR,Türkiye,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,24.1,%
USA,United States of America,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,4.84,%
ZAF,South Africa,Education Group,Q3. Some Secondary,Some secondary but not completed secondary,36.63,%
AUS,Australia,Education Group,Q3. Completed Secondary,Completed secondary,42.73,%
BGD,Bangladesh,Education Group,Q3. Completed Secondary,Completed secondary,21.1,%
BRA,Brazil,Education Group,Q3. Completed Secondary,Completed secondary,34,%
CHN,China,Education Group,Q3. Completed Secondary,Completed secondary,18,%
COM,Comoros,Education Group,Q3. Completed Secondary,Completed secondary,28,%
DEU,Germany,Education Group,Q3. Completed Secondary,Completed secondary,52.85,%
EGY,Egypt,Education Group,Q3. Completed Secondary,Completed secondary,16.29,%
FJI,Fiji,Education Group,Q3. Completed Secondary,Completed secondary,15.9,%
GRC,Greece,Education Group,Q3. Completed Secondary,Completed secondary,43.9,%
IDN,Indonesia,Education Group,Q3. Completed Secondary,Completed secondary,31.2,%
IND,India,Education Group,Q3. Completed Secondary,Completed secondary,28.8,%
JPN,Japan,Education Group,Q3. Completed Secondary,Completed secondary,51.4,%
KGZ,Kyrgyzstan,Education Group,Q3. Completed Secondary,Completed secondary,58,%
KOR,Republic of Korea,Education Group,Q3. Completed Secondary,Completed secondary,30,%
NGA,Nigeria,Education Group,Q3. Completed Secondary,Completed secondary,27.5,%
PAK,Pakistan,Education Group,Q3. Completed Secondary,Completed secondary,9.19,%
RUS,Russian Federation,Education Group,Q3. Completed Secondary,Completed secondary,62.5,%
TUN,Tunisia,Education Group,Q3. Completed Secondary,Completed secondary,37,%
TUR,Türkiye,Education Group,Q3. Completed Secondary,Completed secondary,23.4,%
USA,United States of America,Education Group,Q3. Completed Secondary,Completed secondary,55.68,%
ZAF,South Africa,Education Group,Q3. Completed Secondary,Completed secondary,32.94,%
AUS,Australia,Education Group,Q3. University or More,Completed university or more,27.45,%
BGD,Bangladesh,Education Group,Q3. University or More,Completed university or more,7,%
BRA,Brazil,Education Group,Q3. University or More,Completed university or more,19.14,%
CHN,China,Education Group,Q3. University or More,Completed university or more,19,%
COM,Comoros,Education Group,Q3. University or More,Completed university or more,6,%
DEU,Germany,Education Group,Q3. University or More,Completed university or more,26.13,%
EGY,Egypt,Education Group,Q3. University or More,Completed university or more,11.04,%
FJI,Fiji,Education Group,Q3. University or More,Completed university or more,10.2,%
GRC,Greece,Education Group,Q3. University or More,Completed university or more,33.7,%
IDN,Indonesia,Education Group,Q3. University or More,Completed university or more,10.8,%
IND,India,Education Group,Q3. University or More,Completed university or more,15.5,%
JPN,Japan,Education Group,Q3. University or More,Completed university or more,36.6,%
KGZ,Kyrgyzstan,Education Group,Q3. University or More,Completed university or more,22,%
KOR,Republic of Korea,Education Group,Q3. University or More,Completed university or more,40,%
NGA,Nigeria,Education Group,Q3. University or More,Completed university or more,14,%
PAK,Pakistan,Education Group,Q3. University or More,Completed university or more,9.99,%
RUS,Russian Federation,Education Group,Q3. University or More,Completed university or more,27.7,%
TUN,Tunisia,Education Group,Q3. University or More,Completed university or more,31,%
TUR,Türkiye,Education Group,Q3. University or More,Completed university or more,18.7,%
USA,United States of America,Education Group,Q3. University or More,Completed university or more,34.65,%
ZAF,South Africa,Education Group,Q3. University or More,Completed university or more,17.96,%
AUS,Australia,Occupation Group,Q4. Employed (Full-Time),Full-time employee,33.87,%
BGD,Bangladesh,Occupation Group,Q4. Employed (Full-Time),Full-time employee,21.84,%
BRA,Brazil,Occupation Group,Q4. Employed (Full-Time),Full-time employee,28.85,%
CHN,China,Occupation Group,Q4. Employed (Full-Time),Full-time employee,49.73,%
COM,Comoros,Occupation Group,Q4. Employed (Full-Time),Full-time employee,10.23,%
DEU,Germany,Occupation Group,Q4. Employed (Full-Time),Full-time employee,38.34,%
EGY,Egypt,Occupation Group,Q4. Employed (Full-Time),Full-time employee,7.35,%
FJI,Fiji,Occupation Group,Q4. Employed (Full-Time),Full-time employee,26.72,%
